hostel_name,checkin_date,checkout_date,city,distance,room_type,room_charge,num_reviews,review_total_score
Imano Tokyo Hostel,2022-12-01,2022-12-02,Tokyo,Hostel - 1.5km from city centre,DORMS,₩38531,1357 Total Reviews,8.5
Obi Hostel,2022-12-01,2022-12-02,Tokyo,Hostel - 8.2km from city centre,PRIVATE,e,287 Total Reviews,8.3
Obi Hostel,2022-12-01,2022-12-02,Tokyo,Hostel - 8.2km from city centre,DORMS,₩42957,287 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-01,2022-12-02,Tokyo,Hotel - 7.2km from city centre,PRIVATE,e,13 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-01,2022-12-02,Tokyo,Hotel - 7.2km from city centre,DORMS,₩54894,13 Total Reviews,8.3
Little Japan,2022-12-01,2022-12-02,Tokyo,Hostel - 8.5km from city centre,PRIVATE,e,67 Total Reviews,8.1
Little Japan,2022-12-01,2022-12-02,Tokyo,Hostel - 8.5km from city centre,DORMS,₩36916,67 Total Reviews,8.1
&AND HOSTEL MINAMISENJU,2022-12-01,2022-12-02,Tokyo,Hostel - 10.7km from city centre,PRIVATE,₩60120,5 Total Reviews,8.0
&AND HOSTEL MINAMISENJU,2022-12-01,2022-12-02,Tokyo,Hostel - 10.7km from city centre,DORMS,₩46984,5 Total Reviews,8.0
Juyoh Hotel,2022-12-01,2022-12-02,Tokyo,Hotel - 10.7km from city centre,PRIVATE,₩28238,124 Total Reviews,7.4
Juyoh Hotel,2022-12-01,2022-12-02,Tokyo,Hotel - 10.7km from city centre,DORMS,e,124 Total Reviews,7.4
Almond hostel & cafe Shibuya,2022-12-01,2022-12-02,Tokyo,Hostel - 2.2km from city centre,PRIVATE,e,254 Total Reviews,7.3
Almond hostel & cafe Shibuya,2022-12-01,2022-12-02,Tokyo,Hostel - 2.2km from city centre,DORMS,₩81311,254 Total Reviews,7.3
Tokyo House Inn,2022-12-01,2022-12-02,Tokyo,Hotel - 1.5km from city centre,PRIVATE,₩19177015,66 Total Reviews,NO
Tokyo House Inn,2022-12-01,2022-12-02,Tokyo,Hotel - 1.5km from city centre,DORMS,₩9588508,66 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-01,2022-12-02,Tokyo,Hostel - 9km from city centre,PRIVATE,₩117363,0 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-01,2022-12-02,Tokyo,Hostel - 9km from city centre,DORMS,e,0 Total Reviews,NO
Top  Edge Hostel Koenji,2022-12-01,2022-12-02,Tokyo,Hostel - 4.2km from city centre,PRIVATE,e,12 Total Reviews,NO
Top  Edge Hostel Koenji,2022-12-01,2022-12-02,Tokyo,Hostel - 4.2km from city centre,DORMS,₩33560,12 Total Reviews,NO
Quality Hostel K's House Tokyo Oasis,2022-12-01,2022-12-02,Tokyo,Hostel - 9.6km from city centre,PRIVATE,₩94639,1041 Total Reviews,NO
Quality Hostel K's House Tokyo Oasis,2022-12-01,2022-12-02,Tokyo,Hostel - 9.6km from city centre,DORMS,e,1041 Total Reviews,NO
HOTEL ADONIS near Shibuya-Male only Dorm and Group,2022-12-01,2022-12-02,Tokyo,Hostel - 3.6km from city centre,PRIVATE,₩220536,0 Total Reviews,NO
HOTEL ADONIS near Shibuya-Male only Dorm and Group,2022-12-01,2022-12-02,Tokyo,Hostel - 3.6km from city centre,DORMS,₩66161,0 Total Reviews,NO
Time Sharing Stay Asakusa,2022-12-04,2022-12-05,Tokyo,Hostel - 9.8km from city centre,PRIVATE,₩117363,2 Total Reviews,10
Time Sharing Stay Asakusa,2022-12-04,2022-12-05,Tokyo,Hostel - 9.8km from city centre,DORMS,₩45306,2 Total Reviews,10
Guest House Shinagawa-shuku Tokyo,2022-12-04,2022-12-05,Tokyo,Hostel - 8.7km from city centre,PRIVATE,₩123692,324 Total Reviews,10
Guest House Shinagawa-shuku Tokyo,2022-12-04,2022-12-05,Tokyo,Hostel - 8.7km from city centre,DORMS,₩41231,324 Total Reviews,10
CITAN Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 8.1km from city centre,PRIVATE,₩198482,935 Total Reviews,9.7
CITAN Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 8.1km from city centre,DORMS,₩37971,935 Total Reviews,9.7
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-04,2022-12-05,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩126568,5 Total Reviews,9.6
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-04,2022-12-05,Tokyo,Hostel - 16.6km from city centre,DORMS,₩52737,5 Total Reviews,9.6
Sakura Hotel Jimbocho,2022-12-04,2022-12-05,Tokyo,Hostel - 5.9km from city centre,PRIVATE,₩54367,444 Total Reviews,9.5
Sakura Hotel Jimbocho,2022-12-04,2022-12-05,Tokyo,Hostel - 5.9km from city centre,DORMS,e,444 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-04,2022-12-05,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩79393,20 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-04,2022-12-05,Tokyo,Hostel - 16.6km from city centre,DORMS,₩37280,20 Total Reviews,9.5
Nui. Hostel & Bar Lounge,2022-12-04,2022-12-05,Tokyo,Hostel - 9.3km from city centre,PRIVATE,e,1678 Total Reviews,9.4
Nui. Hostel & Bar Lounge,2022-12-04,2022-12-05,Tokyo,Hostel - 9.3km from city centre,DORMS,₩38833,1678 Total Reviews,9.4
Imano Tokyo Ginza Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 7.6km from city centre,PRIVATE,e,262 Total Reviews,9.4
Imano Tokyo Ginza Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 7.6km from city centre,DORMS,₩38531,262 Total Reviews,9.4
Sakura Hotel Ikebukuro,2022-12-04,2022-12-05,Tokyo,Hostel - 5.1km from city centre,PRIVATE,₩63514,583 Total Reviews,9.3
Sakura Hotel Ikebukuro,2022-12-04,2022-12-05,Tokyo,Hostel - 5.1km from city centre,DORMS,₩29993,583 Total Reviews,9.3
Sakura Hostel Asakusa,2022-12-04,2022-12-05,Tokyo,Hostel - 9.8km from city centre,PRIVATE,₩86728,2170 Total Reviews,9.2
Sakura Hostel Asakusa,2022-12-04,2022-12-05,Tokyo,Hostel - 9.8km from city centre,DORMS,₩28909,2170 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-04,2022-12-05,Tokyo,Hostel - 4km from city centre,PRIVATE,₩163005,967 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-04,2022-12-05,Tokyo,Hostel - 4km from city centre,DORMS,₩47943,967 Total Reviews,9.2
Grids Tokyo Ueno Hotel & Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 8.4km from city centre,PRIVATE,₩138713,20 Total Reviews,9.1
Grids Tokyo Ueno Hotel & Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 8.4km from city centre,DORMS,₩35963,20 Total Reviews,9.1
Hostel bedgasm,2022-12-04,2022-12-05,Tokyo,Hostel - 9.5km from city centre,PRIVATE,₩84379,1314 Total Reviews,9.0
Hostel bedgasm,2022-12-04,2022-12-05,Tokyo,Hostel - 9.5km from city centre,DORMS,₩28766,1314 Total Reviews,9.0
The Millennials Shibuya,2022-12-04,2022-12-05,Tokyo,Hotel - 3.1km from city centre,PRIVATE,e,114 Total Reviews,9.0
The Millennials Shibuya,2022-12-04,2022-12-05,Tokyo,Hotel - 3.1km from city centre,DORMS,₩118418,114 Total Reviews,9.0
Focus Kuramae,2022-12-04,2022-12-05,Tokyo,Hostel - 9km from city centre,PRIVATE,₩128151,73 Total Reviews,8.9
